Date,Input Voltage,CPU Temp,CPU Clock,CPU Usage,Governor,Fan RPM,Fan Percent,Undervoltage detected,Arm frequency capped,Currently throttled,Soft temperature limit active,Undervoltage has occurred,Arm frequency capping has occurred,Throttling has occurred,Soft temperature limit has occurred
2024-11-21 20:51:20.641175,4.88698,48.8,2400033792,0.2,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:51:21.684976,4.87894,48.3,1500016128,2.9,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:51:22.731258,4.89904,48.3,1500016128,1.4,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:51:23.778991,4.90038,47.2,1500019456,0.0,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:51:24.822627,4.88966,48.8,1500016128,2.4,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:51:25.869694,4.89636,48.8,1500012800,0.2,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:51:26.913228,4.85616,49.4,1700014464,6.5,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:51:27.960776,4.87894,48.3,2400037120,23.1,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:51:29.004407,4.88162,48.3,2400023808,9.1,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:51:30.052467,4.88296,50.5,2400037120,17.3,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:51:31.096440,4.83338,49.4,2400030464,20.3,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:51:32.143459,4.86018,51.0,1700021120,22.3,ondemand,7,75,False,False,False,False,False,False,False,False
2024-11-21 20:51:33.192249,4.85482,49.9,2400037120,16.9,ondemand,1045,75,False,False,False,False,False,False,False,False
2024-11-21 20:51:34.258311,4.88296,50.5,2400023808,3.8,ondemand,1179,75,False,False,False,False,False,False,False,False
2024-11-21 20:51:35.304531,4.88162,48.3,2400020480,0.2,ondemand,1206,75,False,False,False,False,False,False,False,False
2024-11-21 20:51:36.346188,4.88698,49.9,2400027136,0.2,ondemand,1217,75,False,False,False,False,False,False,False,False
2024-11-21 20:51:37.388581,4.90172,48.8,1500009472,0.0,ondemand,1219,75,False,False,False,False,False,False,False,False
2024-11-21 20:51:38.432066,4.90306,48.3,1500016128,0.5,ondemand,1222,75,False,False,False,False,False,False,False,False
2024-11-21 20:51:39.481908,4.88698,48.8,1500019456,0.5,ondemand,1224,75,False,False,False,False,False,False,False,False
2024-11-21 20:51:40.525643,4.89234,48.8,1500012800,1.4,ondemand,1222,75,False,False,False,False,False,False,False,False
2024-11-21 20:51:41.571265,4.88698,48.3,1500019456,1.4,ondemand,1222,75,False,False,False,False,False,False,False,False
2024-11-21 20:51:42.616058,4.8642,48.3,1500022656,2.9,ondemand,1221,75,False,False,False,False,False,False,False,False
2024-11-21 20:51:43.666306,4.8843,49.4,2400023808,7.4,ondemand,1218,75,False,False,False,False,False,False,False,False
2024-11-21 20:51:44.708340,4.88162,49.4,2400027136,1.7,ondemand,1218,75,False,False,False,False,False,False,False,False
2024-11-21 20:51:45.750882,4.8843,48.8,2400033792,0.5,ondemand,1219,75,False,False,False,False,False,False,False,False
2024-11-21 20:51:46.792513,4.88162,49.4,2400020480,1.0,ondemand,1219,75,False,False,False,False,False,False,False,False
2024-11-21 20:51:47.834743,4.88966,49.4,1500019456,2.2,ondemand,1221,75,False,False,False,False,False,False,False,False
2024-11-21 20:51:48.880428,4.88564,48.8,1900022784,5.0,ondemand,1223,75,False,False,False,False,False,False,False,False
2024-11-21 20:51:49.924285,4.8776,47.7,1500016128,5.5,ondemand,1223,75,False,False,False,False,False,False,False,False
2024-11-21 20:51:50.972453,4.89368,48.3,1500022656,1.0,ondemand,1226,75,False,False,False,False,False,False,False,False
2024-11-21 20:51:52.018063,4.89904,47.7,1500019456,1.2,ondemand,1227,75,False,False,False,False,False,False,False,False
2024-11-21 20:51:53.062467,4.88698,48.3,1500016128,2.4,ondemand,1227,75,False,False,False,False,False,False,False,False
2024-11-21 20:51:54.107176,4.88832,47.2,1800022016,1.9,ondemand,1227,75,False,False,False,False,False,False,False,False
2024-11-21 20:51:55.153601,4.88966,48.8,1500016128,0.7,ondemand,1228,75,False,False,False,False,False,False,False,False
2024-11-21 20:51:56.197105,4.8843,47.7,2400027136,16.4,ondemand,1224,75,False,False,False,False,False,False,False,False
2024-11-21 20:51:57.239236,4.86554,48.3,2400023808,4.1,ondemand,1226,75,False,False,False,False,False,False,False,False
2024-11-21 20:51:58.381944,4.8843,49.4,2400033792,2.2,ondemand,1229,75,False,False,False,False,False,False,False,False
2024-11-21 20:51:59.424354,4.88698,47.2,2400023808,4.3,ondemand,1230,75,False,False,False,False,False,False,False,False
2024-11-21 20:52:00.467181,4.90306,47.7,1500022656,5.5,ondemand,1230,75,False,False,False,False,False,False,False,False
2024-11-21 20:52:01.512381,4.8843,48.3,1500019456,4.6,ondemand,1232,75,False,False,False,False,False,False,False,False
2024-11-21 20:52:02.560675,4.89234,46.6,1500016128,1.0,ondemand,1237,75,False,False,False,False,False,False,False,False
2024-11-21 20:52:03.605166,4.89368,46.1,1500019456,1.4,ondemand,1235,75,False,False,False,False,False,False,False,False
